zpid,address,zipcode,city,state,latitude,longitude
8185658,12 Springer St # 3,#02127,South Boston,MA,42.331904,-71.040738
8185451,12 Springer St # 1,#02127,South Boston,MA,42.331912,-71.040773
8185397,12 Springer St # 2,#02127,South Boston,MA,42.331904,-71.040738
5915116,10 Springer St,#02127,South Boston,MA,42.331856,-71.040736
5915112,5 Springer St,#02127,South Boston,MA,42.331763,-71.041004
5915112,7 Springer St,#02127,South Boston,MA,42.331818,-71.04095
212839323,12 Springer St,#02127,South Boston,MA,42.3319,-71.0407
5915112,9 Springer St,#02127,South Boston,MA,42.331861,-71.041013
5915115,2 Springer St,#02127,South Boston,MA,42.331614,-71.040738
5915115,4 Springer St,#02127,South Boston,MA,42.331681,-71.040741
5915116,14 Springer St,#02127,South Boston,MA,42.331951,-71.040739
5915116,10 Springer St,#02127,South Boston,MA,42.331856,-71.040736
5915112,5 Springer St,#02127,South Boston,MA,42.331763,-71.041004
8185397,12 Springer St # 2,#02127,South Boston,MA,42.331904,-71.040738
8185451,12 Springer St # 1,#02127,South Boston,MA,42.331912,-71.040773
8185658,12 Springer St # 3,#02127,South Boston,MA,42.331904,-71.040738
9013836,7 Springer St # 2,#02127,South Boston,MA,42.331815,-71.041012
9013668,7 Springer St # 1,#02127,South Boston,MA,42.331815,-71.041012
6709665,8 Springer St # 2,#02127,South Boston,MA,42.331807,-71.040735
6709583,8 Springer St # 1,#02127,South Boston,MA,42.331807,-71.040735
5915022,33 Swallow St,#02127,South Boston,MA,42.333514,-71.029794
5915021,17 Swallow St,#02127,South Boston,MA,42.333505,-71.030249
5915021,7 Swallow St,#02127,South Boston,MA,42.333498,-71.030729
5915021,9 Swallow St,#02127,South Boston,MA,42.3335,-71.030634
5915022,27 Swallow St,#02127,South Boston,MA,42.333511,-71.029995
5915022,31 Swallow St,#02127,South Boston,MA,42.333513,-71.029861
5921295,5 Swallow St,#02127,South Boston,MA,42.333528,-71.03081
5915022,35 Swallow St,#02127,South Boston,MA,42.333515,-71.029726
5915022,29 Swallow St,#02127,South Boston,MA,42.333512,-71.029927
5914836,41 Swallow St # 3,#02127,South Boston,MA,42.333538,-71.029537
5914836,41 Swallow St # 1,#02127,South Boston,MA,42.333538,-71.029537
5914836,39 Swallow St # 2,#02127,South Boston,MA,42.333536,-71.029641
5914836,39 Swallow St # 3,#02127,South Boston,MA,42.333536,-71.029641
11768612,7 Swallow St # 2,#02127,South Boston,MA,42.333498,-71.030729
11768618,7 Swallow St # 1,#02127,South Boston,MA,42.333498,-71.030729
5914836,39 Swallow St # 1,#02127,South Boston,MA,42.333536,-71.029641
6304250,510 E 3rd St # 1,#02127,South Boston,MA,42.336583,-71.039447
6352849,617 E 3rd St # 1,#02127,South Boston,MA,42.336262,-71.035029
9013683,522 E 3rd St UNIT 2,#02127,South Boston,MA,42.336574,-71.038857
9013815,735 E 3rd St # 2,#02127,South Boston,MA,42.336344,-71.029944
9013866,735 E 3rd St # 3,#02127,South Boston,MA,42.336344,-71.029944
9013873,735 E 3rd St # 1,#02127,South Boston,MA,42.336344,-71.029944
10298741,535 E 3rd St # 3,#02127,South Boston,MA,42.336273,-71.038585
10298741,489 E 3rd St APT 2,#02127,South Boston,MA,42.336247,-71.040462
10298747,535 E 3rd St # 1,#02127,South Boston,MA,42.336273,-71.038585
11338877,619 E 3rd St # 3,#02127,South Boston,MA,42.336262,-71.034925
11338944,619 E 3rd St # 1,#02127,South Boston,MA,42.336262,-71.034925
5915263,7 Transit St,#02127,South Boston,MA,42.329857,-71.057534
210165094,5 Transit St # 3,#02127,South Boston,MA,42.329929,-71.057535
5915288,8 Tuckerman St,#02127,South Boston,MA,42.331206,-71.054385
5915288,10 Tuckerman St,#02127,South Boston,MA,42.331263,-71.054436
5915288,12 Tuckerman St,#02127,South Boston,MA,42.331314,-71.054483
5915288,18 Tuckerman St,#02127,South Boston,MA,42.331474,-71.054631
5915275,7 Tuckerman St,#02127,South Boston,MA,42.331416,-71.054174
5915275,35 Tuckerman St,#02127,South Boston,MA,42.331578,-71.054976
6011229,13 Tuckerman St # 2,#02127,South Boston,MA,42.331494,-71.054225
6011229,13 Tuckerman St # 1,#02127,South Boston,MA,42.331494,-71.054225
12385105,7 Tuckerman St # 2,#02127,South Boston,MA,42.331416,-71.054174
12384891,7 Tuckerman St # 1,#02127,South Boston,MA,42.331416,-71.054174
11338937,35 Tuckerman St # B,#02127,South Boston,MA,42.331578,-71.054976
208875936,35 Tuckerman St # B,#02127,South Boston,MA,42.331578,-71.054976
212269232,12 Tuckerman St # 2,#02127,South Boston,MA,42.331314,-71.054483
209812684,7 Vicksburg St,#02127,South Boston,MA,42.334654,-71.034769
24715038,7-13 Vicksburg St # 13,#02127,South Boston,MA,42.337628,-71.040418
24715050,7-13 Vicksburg St # 9,#02127,South Boston,MA,42.337628,-71.040418
24715062,7-13 Vicksburg St # 11,#02127,South Boston,MA,42.337628,-71.040418
5915040,5 Viking St,#02127,South Boston,MA,42.331973,-71.034431
5915040,8 Viking St,#02127,South Boston,MA,42.331927,-71.034155
5915040,6 Viking St,#02127,South Boston,MA,42.331977,-71.034156
5921292,2 Viking St,#02127,South Boston,MA,42.332075,-71.034158
5915041,4 Viking St,#02127,South Boston,MA,42.332028,-71.034158
5915040,7 Viking St,#02127,South Boston,MA,42.331923,-71.034427
5915040,1 Viking St,#02127,South Boston,MA,42.332069,-71.034434
5915040,3 Viking St,#02127,South Boston,MA,42.332022,-71.034434
6739614,5 Viking St # 3,#02127,South Boston,MA,42.331973,-71.034431
6709613,5 Viking St # 2,#02127,South Boston,MA,42.331973,-71.034431
6709612,5 Viking St # 1,#02127,South Boston,MA,42.331973,-71.034431
5915178,21 Vinton St,#02127,South Boston,MA,42.330096,-71.053594
5915183,28 Vinton St,#02127,South Boston,MA,42.329706,-71.053737
5915184,42 Vinton St,#02127,South Boston,MA,42.329405,-71.053293
5915183,24 Vinton St,#02127,South Boston,MA,42.329814,-71.053833
5915183,22 Vinton St,#02127,South Boston,MA,42.329871,-71.053883
5915183,16 Vinton St,#02127,South Boston,MA,42.330048,-71.054038
5915183,4 Vinton St,#02127,South Boston,MA,42.330395,-71.054343
5915183,10 Vinton St,#02127,South Boston,MA,42.330223,-71.05419
5915183,20 Vinton St,#02127,South Boston,MA,42.32993,-71.053935
5915184,32 Vinton St,#02127,South Boston,MA,42.32959,-71.053639
5915184,34 Vinton St,#02127,South Boston,MA,42.329514,-71.053586
5915184,40 Vinton St,#02127,South Boston,MA,42.329422,-71.053378
5915183,6 Vinton St,#02127,South Boston,MA,42.330335,-71.054289
5915178,25 Vinton St,#02127,South Boston,MA,42.329989,-71.053477
5915178,15 Vinton St,#02127,South Boston,MA,42.330254,-71.053699
5915179,9 Vinton St,#02127,South Boston,MA,42.330414,-71.053835
5915178,23 Vinton St,#02127,South Boston,MA,42.330051,-71.053528
5915178,27 Vinton St,#02127,South Boston,MA,42.329927,-71.053425
8185512,57 Wadleigh Pl,#02127,South Boston,MA,42.330637,-71.058713
5915181,3 Ward Ct,#02127,South Boston,MA,42.329833,-71.054171
5915180,7 Ward Ct,#02127,South Boston,MA,42.32962,-71.054071
5915180,4 Ward Ct,#02127,South Boston,MA,42.329868,-71.054105
5915181,2 Ward Ct,#02127,South Boston,MA,42.329804,-71.054234
6739425,8 Ward Ct,#02127,South Boston,MA,42.329584,-71.054142
6011230,6 Ward Ct # 1,#02127,South Boston,MA,42.329653,-71.054007
6011230,5 Ward Ct # 2,#02127,South Boston,MA,42.329687,-71.05394
210765209,1 Ward Ct # 2,#02127,South Boston,MA,42.329769,-71.054298
6011230,5 Ward Ct # 1,#02127,South Boston,MA,42.329687,-71.05394
5915099,1 Webb Park,#02127,South Boston,MA,42.332773,-71.039172
5915100,4 Webb Park,#02127,South Boston,MA,42.332681,-71.038961
5915100,2 Webb Park,#02127,South Boston,MA,42.332777,-71.038962
5915100,3 Webb Park,#02127,South Boston,MA,42.332676,-71.039169
9013858,4 Webb Park # 3,#02127,South Boston,MA,42.332681,-71.038961
9013743,4 Webb Park # 2,#02127,South Boston,MA,42.332681,-71.038961
9013766,4 Webb Park # 1,#02127,South Boston,MA,42.332681,-71.038961
5915189,16 Wendeller St,#02127,South Boston,MA,42.328671,-71.054457
10298430,8 Wendeller St,#02127,South Boston,MA,42.32889,-71.054552
5915190,4 Wendeller St,#02127,South Boston,MA,42.328971,-71.054551
11338921,8 Wendeller St # 2,#02127,South Boston,MA,42.32889,-71.054552
11338877,8 Wendeller St # 1,#02127,South Boston,MA,42.32889,-71.054552
209051174,10 Wendeller St # 9,#02127,South Boston,MA,42.328754,-71.054539
209762976,4 Wendeller St # 2,#02127,South Boston,MA,42.328971,-71.054551
24715056,15 Wendeller St # 2,#02127,South Boston,MA,42.328801,-71.054876
5915135,21 Winfield St,#02127,South Boston,MA,42.331637,-71.042743
5921292,11 Winfield St,#02127,South Boston,MA,42.331796,-71.04279
5915111,16 Winfield St,#02127,South Boston,MA,42.331727,-71.042382
5915111,20 Winfield St,#02127,South Boston,MA,42.331647,-71.042376
24715037,20 Winfield St # 3,#02127,South Boston,MA,42.331647,-71.042376
24715055,20 Winfield St # 1,#02127,South Boston,MA,42.331647,-71.042376
6739627,12 Winfield St # 2,#02127,South Boston,MA,42.33181,-71.042385
6739611,12 Winfield St # 1,#02127,South Boston,MA,42.33181,-71.042385
24715025,20 Winfield St # 2,#02127,South Boston,MA,42.331647,-71.042376
6304121,17 Winfield St # 2,#02127,South Boston,MA,42.331696,-71.042776
6739623,12 Winfield St # 3,#02127,South Boston,MA,42.33181,-71.042385
6304121,17 Winfield St # 3,#02127,South Boston,MA,42.331715,-71.042747
6304137,17 Winfield St # 1,#02127,South Boston,MA,42.331715,-71.042747
5915285,36 Woodward St,#02127,South Boston,MA,42.331254,-71.055722
5914847,48-48R Woodward St,#02127,South Boston,MA,42.3308,-71.0553
212129305,27 Woodward St APT 1,#02127,South Boston,MA,42.331324,-71.056329
5915283,2 Woodward Pl,#02127,South Boston,MA,42.331372,-71.056587
