,ADDRESS,LATITUDE,LONGITUDE
198,25 W FIFTH ST Apt. 25- 3,42.3399171,-71.0564325
199,17 HARVEST ST Apt. 3,42.3229788,-71.0577717
200,241 W THIRD ST Apt. 1,42.3386019,-71.0487878
201,588 ADAMS ST,42.289762,-71.05572099999999
202,15 HARVEST ST Apt. 3,42.3228997,-71.0575283
203,26 RITA RD,42.2823111,-71.050775
204,65 E INDIA RO Apt. 4A,42.3576699,-71.0504859
205,290 COMMONWEALTH AV Apt. D,42.3496237,-71.0847185
206,19 BELLFLOWER ST Apt. 5,42.3246355,-71.05820349999999
207,171 SOUTH ST Apt. B-2,42.3037882,-71.11514
208,29 MT VERNON ST Apt. 29-2,42.321724,-71.057824
209,331 NEWBURY ST,42.3487315,-71.0864335
210,41 SOUTH ST Apt. 41-1,42.3399619,-71.157572
211,132 BOSTON ST Apt. 3,42.3248925,-71.0590496
212,187 NORTH ST Apt. 9,42.3632094,-71.0535685
213,309 EMERSON ST Apt. 12,42.3343584,-71.03409599999999
214,42 SALINA RD Apt. 1,42.2926091,-71.0495423
215,27 WASHBURN ST Apt. 4,42.3258236,-71.0579183
216,20 HARVEST ST,42.322705,-71.0578333
217,298 LAMARTINE ST Apt. 1,42.3126198,-71.1077121
218,160 WILMINGTON AV,42.280452,-71.0723173
219,45 BULLARD ST,42.3019872,-71.0745922
220,14 SCHOOL ST,42.35747730000001,-71.0590229
221,3 SEXTON CT,42.321981,-71.0611888
222,39 STORY ST Apt. 2,42.3332994,-71.04254379999999
223,17 MT VERNON ST,42.32219180000001,-71.0588999
224,36 HOWLAND ST,42.3128366,-71.0865699
225,119 ROSLINDALE AV,42.2838751,-71.1351734
226,5A MT VERNON ST Apt. 4,42.3224803,-71.0599486
227,MAYHEW ST,42.3215495,-71.0598061
228,15 BRIER RD,42.2754415,-71.15183739999999
229,15 WILLIAMS AV,42.2508974,-71.1192166
230,67 SAGAMORE ST,42.3160845,-71.054025
231,39 ST MARGARET ST,42.3214995,-71.0587606
232,320 SAVIN HILL AV,42.3123026,-71.04852319999999
233,38 DIX ST,42.2955513,-71.0599677
234,151 TREMONT ST Apt. 257,42.3549861,-71.063255
235,34 LARCHMONT ST,42.2967337,-71.0690674
236,23 HASLET ST,42.2851899,-71.1350341
237,5 SAGAMORE ST,42.3128124,-71.0550928
238,436 MARLBOROUGH ST Apt. 3,42.3496557,-71.0899459
239,18 SOUTHERN AV,42.2906578,-71.0725073
240,1313 WASHINGTON ST Apt. 516,42.3422378,-71.06853749999999
241,766 E THIRD ST Apt. PS #17,42.3600825,-71.0588801
242,21 ATHELWOLD ST,42.2963866,-71.0762867
243,22B MT VERNON ST Apt. 22B,42.3222719,-71.05806419999999
244,80 STANTON ST,42.2828866,-71.0783062
245,8 OAKWOOD ST,42.2689663,-71.1104437
246,1313 WASHINGTON ST Apt. 517,42.3422378,-71.06853749999999
247,5A MT VERNON ST Apt. 2,42.3224803,-71.0599486
248,13 HOWELL ST Apt. 13-1,42.3251175,-71.0574374
249,823 DORCHESTER AV,42.3228031,-71.05704279999999
250,19 ELMORE ST Apt. 3,42.3203761,-71.0920741
251,20 SHAWMUT ST,42.3502242,-71.0682273
252,16 MORSE ST,42.3044363,-71.0784919
253,20 JENKINS ST,42.3305649,-71.0532937
254,16 DORSET ST Apt. 1,42.32349139999999,-71.0579593
255,31 MT VERNON ST Apt. 2,42.3216636,-71.05769719999999
256,65 ROSECLAIR ST,42.3208685,-71.0580464
257,42 KING ST Apt. 2,42.2929583,-71.058909
258,11A MT VERNON ST,42.322271,-71.059319
259,37 MT VERNON ST Apt. 2R,42.321589,-71.057245
260,893 E SECOND ST Apt. 9,42.3372254,-71.027508
261,13 ALGONQUIN ST,42.29800059999999,-71.073503
262,30 MACDONALD ST,42.2701201,-71.1286863
263,538 POPLAR ST,42.2726047,-71.1309957
264,39 SAXTON ST,42.31361160000001,-71.0541178
265,425 NEWBURY ST Apt. A-21,42.3482066,-71.0903733
266,HERBERTSON RD,42.2919119,-71.116162
267,19 GOODALE RD,42.2832809,-71.09260499999999
268,15 RIVER ST Apt. 502,42.3566153,-71.0699291
269,77 WALDECK ST,42.2982171,-71.06600329999999
270,549 E FOURTH ST Apt. D-2,42.3342981,-71.0428824
271,14 BOLSTER ST,42.3221581,-71.1055106
272,4925 WASHINGTON ST Apt. 202,42.2692059,-71.1494854
273,29 GIBSON ST,42.2973751,-71.0595499
274,7 LINDSEY ST,42.298235,-71.0669782
275,16 ST BRENDAN RD,42.28042600000001,-71.0510536
276,46 MAYHEW ST Apt. B,42.3212132,-71.0583892
277,7 VICKSBURG ST Apt. 13,42.3374754,-71.0403539
278,204 ALLANDALE ST Apt. 204-B,42.3009916,-71.1374759
279,39 RICHWOOD ST,42.2861433,-71.15879989999999
280,58 HARVEST ST,42.323174,-71.059491
281,3708 WASHINGTON ST,42.300283,-71.1129845
282,21 BEACON ST Apt. 7-R,42.35827219999999,-71.06243490000001
283,117 DRESSER ST Apt. 4,42.3372097,-71.04412359999999
284,91 BLOOMFIELD ST,42.2987861,-71.0698799
285,61 MORRELL ST,42.2726597,-71.1665513
286,147 KELTON ST Apt. 510,42.3478845,-71.13960639999999
287,6 WHITTIER PL Apt. B-102,42.3656073,-71.0673891
288,30 BOSTON ST Apt. 3,42.3283883,-71.0574573
289,31 MT VERNON ST Apt. 1,42.3216636,-71.05769719999999
290,25 HOWELL ST,42.3252882,-71.05811059999999
291,50 LINWOOD ST,42.3281522,-71.0946941
292,15 STONEHURST ST,42.3043441,-71.0677211
293,679 TREMONT ST Apt. 3,42.3416472,-71.0765138
294,10 CARSON ST,42.3196288,-71.0546371
295,8 MT VERNON ST Apt. 3,42.3228722,-71.0596437
296,140 KILSYTH RD Apt. 8,42.3394345,-71.1468538
297,64 PINCKNEY ST Apt. 4,42.3586973,-71.0677668
298,32 CHESTNUT AV,42.3573799,-71.0678023
299,17 LEVANT ST,42.3032359,-71.0697174
300,42 WASHBURN ST Apt. 3,42.3257205,-71.0586008
301,7 HELENA RD,42.286873,-71.055296
302,WESTON ST,42.2509217,-71.1401801
303,374 W BROADWAY Apt. 10,42.3378384,-71.048721
304,45 WRENTHAM ST,42.2879612,-71.06122130000001
305,41 MALLET ST,42.290518,-71.058256
306,64 HARVEST ST Apt. 2,42.3232065,-71.0595999
307,90 MARLBOROUGH ST Apt. PS-1,42.3533321,-71.07603259999999
308,27 MT VERNON ST Apt. 27-2,42.32177799999999,-71.05796
309,10 DONCASTER ST,42.2749393,-71.12532089999999
310,53 HOBSON ST,42.35454319999999,-71.1616842
311,8 GARRISON ST Apt. 203,42.3461771,-71.0796086
312,124 COLBERG AV,42.2824421,-71.1444571
313,676 PARKER ST,42.3324261,-71.0963761
314,7 DORSET ST,42.3237128,-71.0573678
315,139 SPENCER ST,42.29226329999999,-71.07575280000002
316,10 NEWPORT ST,42.3185846,-71.0537116
317,103 BEACON ST Apt. 4,42.3550497,-71.0728823
318,1313 WASHINGTON ST Apt. PS L7A,42.3420302,-71.0684375
319,28 LEXINGTON ST,42.3773986,-71.0387301
320,195 BEACON ST Apt. 10,42.3540791,-71.07646969999999
321,757 DORCHESTER AV Apt. 3,42.3245593,-71.05711769999999
322,20 CUFFLIN ST,42.3506591,-71.1741633
323,47 CIRCUIT ST Apt. 47-2,42.3236566,-71.08633040000001
324,687 WASHINGTON ST,42.287583,-71.071471
325,330 CENTRE ST,42.3224206,-71.1057427
326,32 ROSECLAIR ST Apt. 2,42.3209396,-71.05961239999999
327,44 LEONARD ST,42.3018517,-71.0577508
328,30 HOWELL ST Apt. 3,42.32500659999999,-71.0583779
329,8 HOWELL ST Apt. 2,42.32474089999999,-71.0570788
330,26 WESTCOTT ST,42.292443,-71.078536
331,819 DORCHESTER AV,42.3229516,-71.05704279999999
332,12 DARTMOUTH PL Apt. 12-3,42.3450819,-71.07365190000002
333,339 NEWBURY ST,42.3486902,-71.0867353
334,53 BLAKE ST,42.2662058,-71.1069497
335,140 MT VERNON ST Apt. 4,42.3574115,-71.07110279999999
336,201 SALEM ST Apt. 3,42.36667,-71.0543844
337,6 PLEASANT ST,42.3183411,-71.0586446
338,68 PERCIVAL ST,42.3051252,-71.0629391
339,9 HAWTHORNE PL Apt. 4-M,42.3642406,-71.066169
340,9 HAWTHORNE PL Apt. 16-R,42.3642406,-71.066169
341,136 HIGH ST Apt. 136-3,42.3600825,-71.0588801
342,26 CRANDALL ST,42.2812077,-71.1271428
343,120 W SEVENTH ST,42.3360905,-71.0529803
344,47 HARVEST ST Apt. 2,42.3234067,-71.0588315
345,29 MT VERNON ST Apt. 29-3,42.321724,-71.057824
346,25 SAVOY ST Apt. PS-33,42.3417631,-71.06728559999999
347,41 GARNER RD,42.2901455,-71.0542107
348,37 MT VERNON ST Apt. 3R,42.321589,-71.057245
349,28 DOW RD,42.2814414,-71.1678974
350,2 STARBIRD AV,42.285372,-71.1138994
351,29 OCEAN ST,42.2861489,-71.06693179999999
352,33 MESSINGER ST,42.2733234,-71.09896499999999
353,145 ST BOTOLPH ST Apt. 34,42.3436678,-71.0826518
354,AMORET RD,38.2549946,-94.58795630000002
355,180 COMMONWEALTH AV Apt. 12,42.35104500000001,-71.07950029999999
356,58 WRENTHAM ST,42.2883864,-71.06066419999999
357,26 PARKER ST,42.3829769,-71.0789568
358,27 WASHBURN ST Apt. 6,42.3258236,-71.0579183
359,16 JOHNSON ST,42.2729171,-71.16390559999999
360,17 BELLFLOWER ST Apt. 1,42.3246038,-71.0580178
361,24 RAWSON ST Apt. PS-16,42.3260099,-71.057959
362,36 BELDEN ST,42.3189758,-71.0653152
363,26 STILLMAN ST Apt. 3-5,42.3636899,-71.05695639999999
364,39 VERNON ST,42.2510735,-71.1413006
365,65 HOWITT RD,42.2766866,-71.1536941
366,404 W FIRST ST Apt. 34,42.3377439,-71.0433747
367,17 BELLFLOWER ST,42.3246038,-71.0580178
368,12 ELTON ST,42.3140003,-71.0563928
369,8 MT VERNON ST Apt. 5,42.3228722,-71.0596437
370,14 WESTLAND AV Apt. 3,42.343196,-71.0867487
371,50 GOULD ST,42.2714985,-71.1680366
372,973 SARATOGA ST,42.3866816,-71.00782629999999
373,641 E SIXTH ST,42.3329765,-71.0346059
374,130 PRINCETON ST,42.3781115,-71.0349145
375,32 HOWELL ST,42.3250917,-71.05848209999999
376,208 WELD ST,42.293249,-71.1413819
377,8 HOWELL ST Apt. 6,42.32474089999999,-71.0570788
378,35 CHANNEL CENTER ST Apt. 203,42.3463778,-71.05055349999999
379,26 MOSELEY ST,42.3199326,-71.0553994
380,757 DORCHESTER AV Apt. 2,42.3245593,-71.05711769999999
381,23 JOHNSWOOD RD,42.2836986,-71.12304630000001
382,10 SYMMES ST Apt. 1,42.28923109999999,-71.1310268
383,5 VERA ST,42.2786567,-71.0757928
384,39 PLEASANTDALE RD,42.2607626,-71.1624203
385,22 BOWMAN ST Apt. 22,42.2870517,-71.0475615
386,14 ALICIA RD,42.2800172,-71.0684639
387,32 PARKTON RD Apt. 2,42.3223782,-71.1143614
388,9 P ST Apt. 2,42.3378996,-71.0275304
389,31 ROXBURY ST,42.329701,-71.085346
390,159 READVILLE ST,42.2389904,-71.13610179999999
391,6 WHITTIER PL Apt. B101-6,42.3657336,-71.0669497
392,155 PARK ST,42.283658,-71.15401899999999
393,120 NORWAY ST Apt. 1,42.3450109,-71.0888789
394,47 MILWOOD ST,42.2803868,-71.0577856
395,64 DEERING RD,42.2845616,-71.0942298
396,24 MT VERNON ST Apt. 24C,42.32220299999999,-71.0578785
397,19 GRASSMERE RD,42.2685927,-71.1295451
398,28 BOSTON ST Apt. 1,42.3284597,-71.0574266
399,173 DELHI ST,42.2759388,-71.09009809999999
400,120 W SEVENTH ST Apt. 401,42.3360342,-71.05312959999999
401,8 CUTHBERT RD,42.279168,-71.15035209999999
402,15 DORSET ST,42.3238531,-71.0579714
403,20HF ARCADIA ST,42.3017675,-71.061532
404,782 DORCHESTER AV,42.3239122,-71.0565785
405,95 MURDOCK ST,42.3528938,-71.14622090000002
406,1514 CENTRE ST,42.2907749,-71.139856
407,26 ROSECLAIR ST,42.3209787,-71.0600606
408,69 W COTTAGE ST,42.3207415,-71.0756547
409,10 ST MARGARET ST,42.32236340000001,-71.0603392
410,38 N BENNET ST Apt. 2,42.3655061,-71.0547395
411,20 RADCLIFFE RD Apt. 103,42.351094,-71.13493249999999
412,85 DEERING RD,42.2852671,-71.0948798
413,13 HOWELL ST Apt. 13-2,42.3251175,-71.0574374
414,62 GREENWICH ST,42.304373,-71.0565785
415,20 BURMAH ST,42.2647212,-71.0984544
416,1280 WASHINGTON ST Apt. 403,42.34200389999999,-71.0675124
417,8R MT VERNON ST Apt. 7,42.3228722,-71.0596437
418,77 CORNELL ST Apt. 2,42.2764964,-71.1306961
419,1313 WASHINGTON ST Apt. PS U95,42.3419965,-71.06837759999999
420,1030 DORCHESTER AV,42.315524,-71.056409
421,146 BOSTON ST,42.3245434,-71.0592945
422,657 DORCHESTER AV,42.3276075,-71.05714859999999
423,1746 COMMONWEALTH AV Apt. 12A,42.3410415,-71.1494398
424,19 BELLFLOWER ST Apt. 3,42.3246355,-71.05820349999999
425,27 MAYHEW ST,42.321361,-71.0596892
426,135 NEPONSET AV Apt. 43,42.2937139,-71.0521306
427,336 ADAMS ST Apt. 10,42.2980775,-71.0564546
428,24 RAWSON ST Apt. 5,42.3260097,-71.05793899999999
429,7 BELLFLOWER ST Apt. 2,42.3244502,-71.0575535
430,300 COMMERCIAL ST Apt. 205,42.3651152,-71.0514577
431,25 JUNIPER ST,42.3250802,-71.08865899999999
432,1313 WASHINGTON ST Apt. CC-106,42.3420302,-71.0684375
433,8 DORSET ST,42.3233944,-71.0574607
434,9 GRAYSON ST,42.2829033,-71.0505428
435,5 MALTA ST,42.2651864,-71.09812939999999
436,189 CHESTNUT HILL AV Apt. 189-16,42.3415051,-71.1549241
437,437 MARLBOROUGH ST,42.35002650000001,-71.0901263
438,375 MARLBOROUGH ST Apt. 1,42.3507563,-71.08739609999999
439,JERUSALEM PL,42.36464,-71.0559431
440,6 WOODBOURNE RD,42.2918381,-71.1129381
441,5A MT VERNON ST Apt. 3,42.3224803,-71.0599486
442,17 HARVEST ST Apt. 1,42.3229788,-71.0577717
443,1313 WASHINGTON ST Apt. PS L89,42.3420302,-71.0684375
444,83 HARVARD AV,42.3534932,-71.1324367
445,56 HAMPSTEAD RD,42.3036836,-71.11702319999999
446,33 I ST,42.3369994,-71.0401079
447,87 ROSECLAIR ST Apt. 3,42.3213361,-71.0571207
448,332 CENTRE ST,42.3224443,-71.105882
449,164 BOSTON ST Apt. 3,42.3239838,-71.0596999
450,1313 WASHINGTON ST Apt. PS L7B,42.3420302,-71.0684375
451,44 HARVEST ST,42.323001,-71.0588535
452,52 O ST Apt. 1,42.3367067,-71.029062
453,53 M ST Apt. 1,42.3362083,-71.0336064
454,ORIENT AV,42.3903206,-71.0049914
455,14 ROSECLAIR ST,42.32103439999999,-71.0606337
456,51 CEDAR GROVE,42.2811013,-71.04956779999999
457,326 CENTRE ST,42.3224474,-71.1054642
458,826 E FIFTH ST Apt. 1,42.3342268,-71.02735179999999
459,19 BELLFLOWER ST Apt. 4,42.3246355,-71.05820349999999
460,3 WHITTEN ST,42.2925557,-71.0620106
461,BARNES AV,42.3864269,-71.0035815
462,119 ELMER RD,42.2868817,-71.0562071
463,141 W SECOND ST,42.3421321,-71.0527018
464,11 CLAXTON ST,42.293741,-71.1195299
465,17 BELLFLOWER ST Apt. 3,42.3246038,-71.0580178
466,17 LINCOLN ST,42.2996843,-71.05936419999999
467,WALWORTH ST,42.2826603,-71.1373692
468,3710 WASHINGTON ST,42.300249,-71.113075
469,11 WIGET ST,42.3640897,-71.0561484
470,9 ST MARGARET ST Apt. 3,42.3221388,-71.0605861
471,25 EAST ST,42.3372623,-71.0744756
472,69 BRADFIELD AV Apt. 2,42.28993330000001,-71.1401635
473,81 PLEASANT HILL AV,42.2755709,-71.0723057
474,133 W SELDEN ST,42.2767072,-71.08675560000002
