,ADDRESS,LATITUDE,LONGITUDE
218,17 COTTAGE ST,42.3660126,-71.0362841
219,9 MERCER ST Apt. 2,42.3334515,-71.0491895
220,5 ALBION PL Apt. 5B,42.3810981,-71.06994949999999
221,149 H ST,42.3327085,-71.041687
222,16 LINDEN ST,42.3340133,-71.0450642
223,247 COLUMBIA RD Apt. 2,42.3079847,-71.074956
224,542 DORCHESTER AV Apt. PH3,42.3308828,-71.0567085
225,182 E ST,42.3343517,-71.05356069999999
226,854 E BROADWAY,42.3359128,-71.0302298
227,2 HAWTHORNE PL Apt. 17-O/P,42.3642406,-71.066169
228,8 WHITTIER PL Apt. 6K-8,42.3654839,-71.06728
229,22 LIBERTY DR Apt. B2-82,42.3545427,-71.0452696
230,16 THOMAS PK Apt. 2,42.3337455,-71.0457239
231,171 BOWEN ST Apt. 3,42.3365836,-71.052072
232,5 MOHAWK ST Apt. PS-5,42.3291411,-71.05588209999999
233,36 I ST,42.33688739999999,-71.0397248
234,6 GATES ST,42.3338688,-71.0481286
235,13 BREWSTER ST,42.3316869,-71.0405258
236,34 TELEGRAPH ST Apt. 3,42.3330864,-71.0493805
237,35 CHANNEL CENTER ST Apt. 100,42.3463778,-71.05055349999999
238,6 WHITTIER PL Apt. 15O-6,42.3657336,-71.0669497
239,219 TUDOR ST,42.33401780000001,-71.0498671
240,175 TUDOR ST,42.3349729,-71.0512462
241,45 VINTON ST Apt. 3,42.329698,-71.0531063
242,10 TICKNOR ST Apt. 3,42.3299238,-71.0362082
243,3 SHEPTON TE,42.2892651,-71.06314689999999
244,8 REV R M COSTELLO PL,42.2852525,-71.0456657
245,2 HAWTHORNE PL Apt. 16-A,42.3642406,-71.066169
246,141 DORCHESTER AV Apt. R103,42.3419516,-71.0574969
247,299 W SECOND ST,42.3392382,-71.0481575
248,7 STILLMAN PL Apt. 7,42.364311,-71.057694
249,39 OLD HARBOR ST,42.3334552,-71.04766430000001
250,203 COLUMBIA RD,42.3069157,-71.076486
251,33 SLEEPER ST Apt. 303,42.3519914,-71.04889680000001
252,150 DORCHESTER AV Apt. 607,42.3418223,-71.05691519999999
253,632 E SECOND ST,42.3375285,-71.0379373
254,2 HAWTHORNE PL Apt. 12-D,42.3642406,-71.066169
255,277 W SECOND ST Apt. A1,42.3394907,-71.0486883
256,166 O ST,42.33259959999999,-71.0290254
257,237 DORCHESTER ST Apt. 3,42.33306460000001,-71.0511439
258,188 TUDOR ST,42.3349005,-71.0507404
259,309 E ST Apt. 21,42.3371686,-71.0495412
260,170 W BROADWAY Apt. PS-B30,42.3405077,-71.0528643
261,48 GOLD ST Apt. 202,42.3399163,-71.05567370000001
262,4 AKRON PL,42.3258709,-71.0847477
263,14 I ST Apt. 9,42.3372333,-71.0397745
264,137 O ST,42.3335918,-71.029214
265,143 SUMMER ST,42.35323959999999,-71.0568941
266,40 NINTH ST Apt. 40,42.3352397,-71.0550402
267,268 BOWEN ST Apt. 2,42.3348524,-71.0489963
268,350 W FOURTH ST Apt. 413,42.3376352,-71.0504533
269,754 E FOURTH ST Apt. 1,42.3350208,-71.03417979999999
270,5 LINLEY TE,42.3360663,-71.03935919999999
271,106 MARINE RD,42.3308353,-71.0348046
272,MARSHALL PL,42.3830317,-71.0690278
273,170 W BROADWAY Apt. PS-B19,42.3405077,-71.0528643
274,2 HAWTHORNE PL Apt. 17-G,42.3642406,-71.066169
275,345 COLUMBIA RD,42.310254,-71.0714352
276,114 P ST,42.3344058,-71.0269564
277,1486 COLUMBIA RD,42.330657,-71.0410713
278,152 OLD COLONY AV Apt. 14,42.3346467,-71.0546502
279,130 O ST,42.33371460000001,-71.02896439999999
280,210 SILVER ST,42.3378879,-71.05023709999999
281,372 ATHENS ST Apt. 3,42.3365114,-71.0459891
282,8 CARPENTER ST Apt. 1,42.328638,-71.05630529999999
283,197 EIGHTH ST Apt. 331,42.3733848,-71.0519798
284,47 DORCHESTER ST Apt. 15,42.3352199,-71.04626999999999
285,22 LIBERTY DR Apt. B2-96,42.3545427,-71.0452696
286,574 DORCHESTER AV,42.3302927,-71.056423
287,4 REV R M COSTELLO PL,42.2852525,-71.0456657
288,315 W BROADWAY,42.33832870000001,-71.0505428
289,102 I ST,42.3347823,-71.0397365
290,21A WORMWOOD ST Apt. 21A,42.3473112,-71.0501979
291,293 SILVER ST,42.3359105,-71.04757839999999
292,14 DARTMOUTH PL Apt. 14-1,42.3450678,-71.0735535
293,159 COTTAGE ST Apt. 5,42.3696853,-71.0325928
294,669 E BROADWAY,42.3354266,-71.0377808
295,9 M ST Apt. 6,42.337839,-71.0336461
296,7 BAY STATE PL Apt. 2,42.33770759999999,-71.0381372
297,121 F ST Apt. 1,42.3361872,-71.0481502
298,122 TUDOR ST Apt. 122E,42.3361226,-71.0527121
299,23 DEXTER ST,42.33047029999999,-71.0579017
300,34 F ST Apt. 2,42.3341329,-71.05116199999999
301,30 TELEGRAPH ST,42.333132,-71.049582
302,554 DORCHESTER AV Apt. B1,42.3306191,-71.0566432
303,446 SIXTH ST Apt. 1,42.3331401,-71.0424464
304,320 W SECOND ST Apt. 202,42.3389923,-71.0473329
305,487 SOUTHAMPTON ST,42.329486,-71.058087
306,43 OLD HARBOR ST,42.333357,-71.047726
307,7 HATCH ST Apt. 1,42.3310389,-71.0362307
308,67 GATES ST Apt. 1,42.3316333,-71.0484469
309,369 COLUMBIA RD,42.3106632,-71.0707852
310,197 EIGHTH ST Apt. 417,42.3733848,-71.0519798
311,550 DORCHESTER AV,42.330673,-71.056769
312,1300 SHIPWAY PL Apt. PS-58,42.3765875,-71.0517491
313,9 ATLANTIC ST,42.3342355,-71.04636430000001
314,544 COLUMBIA RD,42.3161504,-71.06652
315,37 H ST,42.3367204,-71.0417329
316,16 DARTMOUTH PL,42.3450174,-71.0733425
317,197 EIGHTH ST Apt. 802,42.3733848,-71.0519798
318,664 COLUMBIA RD Apt. 3,42.3191962,-71.06344349999999
319,4 DRAKE PL,42.37268,-71.0362921
320,1300 SHIPWAY PL Apt. PS-39,42.3765875,-71.0517491
321,10 LEEDS ST,42.3306481,-71.0562063
322,151 COLUMBIA RD,42.3057764,-71.078724
323,186 L ST Apt. 3,42.3317106,-71.0350558
324,33 SLEEPER ST Apt. 401,42.3519914,-71.04889680000001
325,172 COTTAGE ST,42.3702434,-71.03271389999999
326,14 NATIONAL ST,42.3339444,-71.0465616
327,42 EIGHTH ST Apt. 1521,42.3749988,-71.0520878
328,168 COTTAGE ST Apt. 102,42.3701432,-71.03294149999999
329,19 TELEGRAPH ST Apt. 3,42.3327467,-71.0500872
330,141 DORCHESTER AV Apt. 220,42.3419516,-71.0574969
331,314 E ST,42.3375779,-71.049823
332,141 DORCHESTER AV Apt. 401,42.3419516,-71.0574969
333,1 WADLEIGH PL,42.3310169,-71.05762310000001
